movie_name,message_id,date,channel_id,quality,size,language
Border (1997) Bollywood Hindi Movie HEVC 720p ESub,286,2026-03-31,-1003181705395,720p,Unknown,Hindi
Border 1997 480p Hindi WEB-DL ESub x264,285,2026-03-31,-1003181705395,480p,Unknown,Hindi
Border (1997) Bollywood Hindi Movie HEVC 480p ESub,284,2026-03-31,-1003181705395,480p,Unknown,Hindi
Now You See Me Now You Dont 2025 1080p BluRay Hindi OR English DDP5.1 H.264 ESubs,283,2026-03-30,-1003181705395,1080p,Unknown,Hindi
Now You See Me Now You Dont 2025 1080p BluRay Hindi 5.1 OR English 5.1 ESub x264,282,2026-03-30,-1003181705395,1080p,Unknown,Hindi
Now You See Me Now You Dont (2025) Hindi DD5.1-224Kbps OR English DD5.1-192Kbps Dual Audio Hollywood,281,2026-03-30,-1003181705395,4K,Unknown,Hindi
Now You See Me Now You Dont 2025 1080p 10Bit BluRay Hindi 5.1 OR English 5.1 HEVC x265,280,2026-03-30,-1003181705395,1080p,Unknown,Hindi
Now You See Me Now You Dont (2025) 720p BluRay Hindi OR English DDP5.1 H.264 ESubs,279,2026-03-30,-1003181705395,720p,Unknown,Hindi
Now You See Me Now You Dont 2025 720p BluRay Hindi 5.1 English 5.1 ESub x264,278,2026-03-30,-1003181705395,720p,Unknown,Hindi
Now You See Me Now You Dont 2025 720p BluRay x264 Dual Audio Hindi OR English,277,2026-03-30,-1003181705395,720p,Unknown,Dual Audio
Now You See Me Now You Dont 2025 720p 10Bit BluRay Hindi 5.1 OR English 5.1 HEVC x265,276,2026-03-30,-1003181705395,720p,Unknown,Hindi
Now You See Me Now You Dont (2025) Hindi OR English Dual Audio Hollywood Movie BluRay HEVC 720p ESub,275,2026-03-30,-1003181705395,720p,Unknown,Hindi
Now You See Me Now You Dont (2025) Hindi OR English Dual Audio Hollywood Movie BluRay HEVC 480p ESub,274,2026-03-30,-1003181705395,480p,Unknown,Hindi
Now You See Me Now You Dont 2025 480p BluRay x264 Dual Audio Hindi OR English,273,2026-03-30,-1003181705395,480p,Unknown,Dual Audio
Now You See Me 2 2016 BluRay 1080p Hindi OR English DD 5.1 x264 ESub,272,2026-03-19,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2 2016 Hindi OR English ESub 1080p 10Bit HEVC,271,2026-03-19,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2 2016 1080p BluRay Hindi 5.1 English 5.1 ESub x264,270,2026-03-19,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2 2016 1080p 10Bit BluRay Hindi 5.1 English 5.1 HEVC x265,269,2026-03-19,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2 2016 1080p 10bit BluRay x265 HEVC Org Hindi DD,268,2026-03-19,-1003181705395,1080p,Unknown,Org
Now You See Me 2 2016 BluRay 720p Hindi OR English AAC 5 1 x264 ESub,267,2026-03-19,-1003181705395,720p,Unknown,Hindi
Now You See Me 2 2016 720p BluRay Hindi.5.1 English.5.1 ESub x264,266,2026-03-19,-1003181705395,720p,Unknown,Hindi
Now You See Me 2 2016 720p Hindi OR English,265,2026-03-19,-1003181705395,720p,Unknown,Hindi
Now You See Me 2 2016 720p 10Bit BluRay Hindi.5.1 English HEVC x265,264,2026-03-19,-1003181705395,720p,Unknown,Hindi
Now You See Me 2016 480p Hindi OR English,263,2026-03-19,-1003181705395,480p,Unknown,Hindi
Now You See Me 2 2016 BluRay Hindi English 480p ESub,262,2026-03-19,-1003181705395,480p,Unknown,Hindi
Now You See Me Extended 2013 1080p Bluray Hindi OR English Esubs,261,2026-03-18,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2013 EXTENDED 1080p BluRay Hindi.5.1 English.5.1 ESub x264,260,2026-03-18,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2013 EXTENDED 1080p 10Bit BluRay Hindi.5.1 English.5.1 HEVC x265,259,2026-03-18,-1003181705395,1080p,Unknown,Hindi
Now You See Me 2013 720p Blu Ray DUAL x264 AAC ESub,258,2026-03-18,-1003181705395,720p,Unknown,Unknown
Now You See Me 2013 EXTENDED 720p BluRay Hindi.5.1 OR English.5.1 ESub x264,257,2026-03-18,-1003181705395,720p,Unknown,Hindi
Now You See Me (2013) Hindi OR English Dual Audio Hollywood Movie BluRay HD 720p ESub,256,2026-03-18,-1003181705395,720p,Unknown,Hindi
Now You See Me 2013 EXTENDED 720p 10Bit BluRay Hindi 5.1 English HEVC x265,255,2026-03-18,-1003181705395,720p,Unknown,Hindi
Now You See Me (2013) Hindi OR English Dual Audio Hollywood Movie BluRay HEVC 720p ESub,254,2026-03-18,-1003181705395,720p,Unknown,Hindi
Now You See Me 2013 480p Blu Ray DUAL x264 AAC ESub,253,2026-03-18,-1003181705395,480p,Unknown,Unknown
Now You See Me (2013) Hindi OR English Dual Audio Hollywood Movie BluRay HEVC 480p ESub,252,2026-03-18,-1003181705395,480p,Unknown,Hindi
Squid Game 2021 720p WEBRip S01 Complete NF Series Dual Audio Hindi,251,2025-12-21,-1003181705395,720p,Unknown,Dual Audio
Squid Game S01 COMBINED 720p 10bit WEBRip x265 HEVC Org NF Hindi,250,2025-12-21,-1003181705395,720p,Unknown,Org
Squid Game 2021 480p WEBRip S01 Complete NF Series Dual Audio Hindi,249,2025-12-21,-1003181705395,480p,Unknown,Dual Audio
Bhaag Milkha Bhaag (2013) 1080p 10bit BluRay x265 Hindi,248,2025-12-20,-1003181705395,1080p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 Hindi 1080p BluRay x264 AAC 5 1 ES,247,2025-12-20,-1003181705395,1080p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 Hindi 720p 10bit BluRay 2CH x265 HEVC,246,2025-12-20,-1003181705395,720p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 Hindi 720p BluRay x264 AAC 5 1 ESu,245,2025-12-20,-1003181705395,720p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 Hindi 720p HEVC BluRay x265 AAC ES,244,2025-12-20,-1003181705395,720p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 Hindi 480p BluRay x264 AAC ESubs,243,2025-12-20,-1003181705395,480p,Unknown,Hindi
Bhaag Milkha Bhaag 2013 BluRay Hindi 480p ESub,242,2025-12-20,-1003181705395,480p,Unknown,Hindi
Demonte Colony 2 2024 1080p WEB-DL Hindi- Tamil x264 AAC 5 1,241,2025-12-19,-1003181705395,1080p,Unknown,Hindi
Demonte Colony 2 2024 WebRip 1080p Hindi DD 5 1 x264,240,2025-12-19,-1003181705395,1080p,Unknown,Hindi
Demonte Colony 2 2024 Hindi 1080p AMZN WEBRip 10bit x265,239,2025-12-19,-1003181705395,1080p,Unknown,Hindi
Demonte Colony 2 2024 1080p AMZN WEB DL DDP5 1 H 265,238,2025-12-19,-1003181705395,1080p,Unknown,Unknown
Demonte Colony 2 2024 720p AMZN WEB DL DDP5 1 H 264 Movi,237,2025-12-19,-1003181705395,720p,Unknown,Unknown
Demonte Colony 2 2024 720p AMZN WEB DL H 265 Hindi D,236,2025-12-19,-1003181705395,720p,Unknown,Hindi
Demonte Colony 2 2024 720p WEB-DL Hindi- Tamil x264 AAC 5 1,235,2025-12-19,-1003181705395,720p,Unknown,Hindi
Demonte Colony 2 2024 WebRip 720p Hindi AAC 5 1 x264,234,2025-12-19,-1003181705395,720p,Unknown,Hindi
Demonte Colony 2 2024 720p AMZN WEB DL AAC2 0 H 265,233,2025-12-19,-1003181705395,720p,Unknown,Unknown
Demonte Colony 2 2024 Hindi 720p AMZN WEBRip 10bit x265,232,2025-12-19,-1003181705395,720p,Unknown,Hindi
Demonte Colony 2 2024 720p HEVC WEB-DL Hindi- Tamil x265 AAC,231,2025-12-19,-1003181705395,720p,Unknown,Hindi
Demonte Colony 2 2024 480p WEB-DL Hindi- Tamil x264 AAC ESub,230,2025-12-19,-1003181705395,480p,Unknown,Hindi
Demonte Colony 2 2024 405p AMZN WEB DL AAC2 0 H 264,229,2025-12-19,-1003181705395,Unknown,Unknown,Unknown
Demonte Colony 2 2024 WebRip 480p x265 HEVC 10bit Hi,228,2025-12-19,-1003181705395,480p,Unknown,Unknown
Demonte Colony 2015 1080p HQ AMZN WEB DL x265 HEVC Org YT,227,2025-12-18,-1003181705395,1080p,Unknown,Org
Demonte Colony 2015 1080p 10bit AMZN WEBRip Hindi YT DDP2,226,2025-12-18,-1003181705395,1080p,Unknown,Hindi
Demonte Colony (2015) UNCUT 1080p HDRip ORG Hindi + Tam,225,2025-12-18,-1003181705395,1080p,Unknown,ORG
Demonte Colony 2015 1080p AMZN WEB DL x265 HEVC Org YT Hi,224,2025-12-18,-1003181705395,1080p,Unknown,Org
Demonte Colony (2015) UNCUT 720p HDRip ORG Hindi + Tami,223,2025-12-18,-1003181705395,720p,Unknown,ORG
Demonte Colony 2015 720p 10bit AMZN WEBRip Hindi YT DDP2,222,2025-12-18,-1003181705395,720p,Unknown,Hindi
Demonte Colony (2015) UNCUT 720p HEVC HDRip ORG Hindi +,221,2025-12-18,-1003181705395,720p,Unknown,ORG
Demonte Colony (2015) UNCUT 480p HDRip ORG Hindi + Tami,220,2025-12-18,-1003181705395,480p,Unknown,ORG
Sarzameen 2025 1080p JSTAR WEB DL DDP5 1 Atmos H 265,219,2025-12-17,-1003181705395,1080p,Unknown,Unknown
Sarzameen 2025 1080p JSTAR WEB DL DDP5 1 Atmos H 264,218,2025-12-17,-1003181705395,1080p,Unknown,Unknown
Sarzameen 2025 Hindi JSTAR WEB DL 1080p,217,2025-12-17,-1003181705395,1080p,Unknown,Hindi
Sarzameen 2025 1080p DS4K WEB DL Hindi x264 AAC 5 1,216,2025-12-17,-1003181705395,1080p,Unknown,Hindi
Sarzameen 2025 1080p 10bit DS4K HS WEBRip Hindi DDP5 1 Atmos,215,2025-12-17,-1003181705395,1080p,Unknown,Hindi
Sarzameen 2025 1080p JHS WEB DL DDP5 1 H265,214,2025-12-17,-1003181705395,1080p,Unknown,Unknown
Sarzameen 2025 720p JSTAR WEB DL DDP5 1 Atmos H 264,213,2025-12-17,-1003181705395,720p,Unknown,Unknown
Sarzameen 2025 Hindi JSTAR WEB DL 720p,212,2025-12-17,-1003181705395,720p,Unknown,Hindi
Sarzameen 2025 720p DS4K WEB DL Hindi x264 AAC 5 1 ESub,211,2025-12-17,-1003181705395,720p,Unknown,Hindi
Sarzameen 2025 720p 10bit DS4K HS WEBRip Hindi DDP5 1 x265 H,210,2025-12-17,-1003181705395,720p,Unknown,Hindi
Sarzameen 2025 720p JHS WEB DL AAC2 0 H 265,209,2025-12-17,-1003181705395,720p,Unknown,Unknown
Sarzameen 2025 480p JHS WEB DL AAC2 0 H 264,208,2025-12-17,-1003181705395,480p,Unknown,Unknown
Sarzameen 2025 480p DS4K WEB DL Hindi x264 AAC 2 0 ESub,207,2025-12-17,-1003181705395,480p,Unknown,Hindi
Odela 2 2025 Dual Audio Hindi ORG Telugu AMZN WE,205,2025-12-16,-1003181705395,Unknown,Unknown,Dual Audio
Odela 2 2025 1080p DS4K SDR 10bit AMZN WEBRip AV1 HIN TEL,204,2025-12-16,-1003181705395,1080p,Unknown,Unknown
Odela 2 2025 WebRip 1080p Hindi Telugu DD 5 1 x264 E,203,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela 2 2025 1080p WEB DL Hindi 5 1 Telugu 5 1 ESub,202,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela 2 (2025) Hindi + Telugu 1080p Dual Audio UnCut S,201,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela 2 2025 Hindi AMZN WEB DL 1080p HD,200,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela 2 2025 1080p HEVC WEB DL Hindi 5 1 Telugu 5 1,199,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela 2 2025 WebRip 720p Hindi Telugu AAC 5 1 x264 E,198,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela 2 2025 720p AMZN WEB DL DUAL DDP5 1 H 265,197,2025-12-16,-1003181705395,720p,Unknown,Unknown
Odela 2 (2025) Hindi + Telugu 720p Dual Audio UnCut So,196,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela 2 2025 720p HEVC WEB DL Hindi 5 1 Telugu ESub,195,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela 2 (2025) Hindi + Telugu 720p HEVC Dual Audio UnC,194,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela 2 2025 Dual Audio Hindi ORG Telugu AMZN WE,193,2025-12-16,-1003181705395,Unknown,Unknown,Dual Audio
Odela 2 2025 480p DL Hindi Telugu ESub x264 HD,192,2025-12-16,-1003181705395,480p,Unknown,Hindi
Odela 2 (2025) Hindi + Telugu 480p Dual Audio UnCut So,191,2025-12-16,-1003181705395,480p,Unknown,Hindi
Odela 2 2025 WebRip 480p x265 HEVC 10bit Hindi Telug,190,2025-12-16,-1003181705395,480p,Unknown,Hindi
Odela Railway Station (2022) Hindi + Telugu 1080p Dual Aud,189,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela Railway Station 2022 UNCUT 1080p DL Hindi,188,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela Railway Station 2022 Rip UNCUT 1080p Hindi,187,2025-12-16,-1003181705395,1080p,Unknown,Hindi
Odela Railway Station 2022 UNCUT 1080p HEVC DL H,186,2025-12-16,-1003181705395,1080p,Unknown,Unknown
Odela Railway Station 2022 UNCUT 720p DL Hindi 2,185,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela Railway Station (2022) Hindi + Telugu 720p Dual Audi,184,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela Railway Station (2022) Hindi + Telugu 720p HEVC Dual,183,2025-12-16,-1003181705395,720p,Unknown,Hindi
Odela Railway Station (2022) Hindi + Telugu 480p Dual Audi,182,2025-12-16,-1003181705395,480p,Unknown,Hindi
Odela Railway Station 2022 Rip UNCUT 480p x265 HE,181,2025-12-16,-1003181705395,480p,Unknown,Unknown
IT Welcome to Derry 2025 S01 COMBINED 480p Hindi English,180,2025-12-16,-1003181705395,480p,Unknown,Hindi
IT Welcome to Derry S01 720p JHS WEB DL DUAL AAC2 0 H 26,179,2025-12-15,-1003181705395,720p,Unknown,Unknown
IT Welcome to Derry S01 480p JHS WEB DL DUAL AAC2 0 H 26,178,2025-12-15,-1003181705395,480p,Unknown,Unknown
Ace 2025 1080p 10bit DS4K AMZN WEBRip Hindi Tamil DDP5 1 x265 HEVC,177,2025-12-14,-1003181705395,1080p,Unknown,Hindi
Ace (2025) 1080p Hindi Tamil Dual Audio ORG Full Movie H,176,2025-12-14,-1003181705395,1080p,Unknown,Hindi
Ace 2025 720p AMZN DL DDP5 1 H 264,175,2025-12-14,-1003181705395,720p,Unknown,Unknown
Ace 2025 Rip 720p Hindi Tamil AAC 5 1 x264 ESub,174,2025-12-14,-1003181705395,720p,Unknown,Hindi
Ace (2025) 720p Hindi Tamil Dual Audio ORG Full Movie HD,173,2025-12-14,-1003181705395,720p,Unknown,Hindi
Ace 2025 720p AMZN DL AAC2 0 H 265,172,2025-12-14,-1003181705395,720p,Unknown,Unknown
Ace (2025) 720p HEVC Hindi Tamil Dual Audio ORG Full Movie H,171,2025-12-14,-1003181705395,720p,Unknown,Hindi
Ace (2025) 480p Hindi Tamil Dual Audio ORG Full Movie HD,170,2025-12-14,-1003181705395,480p,Unknown,Hindi
Ace 2025 Rip 480p x265 HEVC 10bit Hindi Tamil ESu,169,2025-12-14,-1003181705395,480p,Unknown,Hindi
Chathuram (2022) 1080p UPLAY HDRip ORG Hindi AAC 2 0 x264,168,2025-12-12,-1003181705395,1080p,Unknown,ORG
Chathuram 2022 Hindi UltraPlay DL 1080p,167,2025-12-12,-1003181705395,1080p,Unknown,Hindi
Chathuram (2022) 720p UPLAY HDRip ORG Hindi AAC 2 0 x264,166,2025-12-12,-1003181705395,720p,Unknown,ORG
Chathuram 2022 Hindi UltraPlay DL 720p,165,2025-12-12,-1003181705395,720p,Unknown,Hindi
Chathuram (2022) 720p HEVC UPLAY HDRip ORG Hindi AAC 2 0 x26,164,2025-12-12,-1003181705395,720p,Unknown,ORG
Chathuram 2022 Hindi UltraPlay DL 480p,163,2025-12-12,-1003181705395,480p,Unknown,Hindi
Chathuram (2022) 480p UPLAY HDRip ORG Hindi AAC 2 0 x264,162,2025-12-12,-1003181705395,480p,Unknown,ORG
Thug Life 2025 1080p DL Hindi 5 1 Tamil 5 1 ESub,161,2025-12-11,-1003181705395,1080p,Unknown,Hindi
Thug Life 2025 1080p NF DL DDP5 1 Aos H 264 Ex,160,2025-12-11,-1003181705395,1080p,Unknown,Unknown
Thug Life 2025 1080p 10Bit HEVC DL Hindi 5 1 Tam,159,2025-12-11,-1003181705395,1080p,Unknown,Hindi
Thug Life 2025 1080p HEVC DL Hindi 5 1 Tamil 5 1,158,2025-12-11,-1003181705395,1080p,Unknown,Hindi
Thug Life 2025 1080p NF WEB DL DUAL AAC5 1 AV1,157,2025-12-11,-1003181705395,1080p,Unknown,Unknown
Thug Life 2025 1080p NF WEB DL DUAL AAC5 1,156,2025-12-11,-1003181705395,1080p,Unknown,Unknown
Thug Life 2025 720p DL Hindi 5 1 Tamil 5 1 ESub,155,2025-12-11,-1003181705395,720p,Unknown,Hindi
Thug Life 2025 720p 10Bit HEVC DL Hindi 5 1 Tami,154,2025-12-11,-1003181705395,720p,Unknown,Hindi
Thug Life 2025 720p HEVC DL Hindi Tamil ESub x26,153,2025-12-11,-1003181705395,720p,Unknown,Hindi
Thug Life 2025 720p NF WEB DL DUAL AAC5 1 AV1,152,2025-12-11,-1003181705395,720p,Unknown,Unknown
Thug Life 2025 480p DL Hindi Tamil ESub x264,151,2025-12-11,-1003181705395,480p,Unknown,Hindi
Robinhood 2025 UNCUT 1080p HDRip x264 ESubs Dual Audio,150,2025-12-10,-1003181705395,1080p,Unknown,Dual Audio
Robinhood 2025 UNCUT 1080p 10 Bit HEVC HDRip x265 ESubs D,149,2025-12-10,-1003181705395,1080p,Unknown,Unknown
Robinhood (2025) 1080p 10-Bit HEVC HDRip x265 ESubs Dual Audio Hindi ORG 5.1 - Telugu,148,2025-12-10,-1003181705395,1080p,Unknown,Dual Audio
Robinhood 2025 UNCUT 720p HDRip x264 ESubs Dual Audio A,147,2025-12-10,-1003181705395,720p,Unknown,Dual Audio
Robinhood (2025) 720p 10-Bit HEVC HDRip x265 ESubs Dual Audio Hindi ORG 5.1 - Telugu,146,2025-12-10,-1003181705395,720p,Unknown,Dual Audio
Robinhood 2025 UNCUT 720p HEVC HDRip x265 ESubs Dual Audi,145,2025-12-10,-1003181705395,720p,Unknown,Unknown
Robinhood 2025 UNCUT 480p HDRip x264 ESubs Dual Audio A,144,2025-12-10,-1003181705395,480p,Unknown,Dual Audio
Robinhood (2025) 480p HDRip x264 ESubs Dual Audio Hindi ORG - Telugu,143,2025-12-10,-1003181705395,480p,Unknown,Dual Audio
Moonwalk 2025 DS4K JHS 1080p WEBRip 10bit Multi4 DDP5 1 x2,142,2025-12-09,-1003181705395,4K,Unknown,Unknown
Moonwalk 2025 1080p JHS WEB DL MULTI DDP5 1 ESub x26,141,2025-12-09,-1003181705395,1080p,Unknown,Unknown
Moonwalk 2025 1080p JHS WEB DL DDP5 1 H 264,140,2025-12-09,-1003181705395,1080p,Unknown,Unknown
Moonwalk 2025 Hindi JSTAR WEB DL 1080p,139,2025-12-09,-1003181705395,1080p,Unknown,Hindi
Moonwalk 2025 1080p DS4K WEB DL Hindi 5 1 Malayalam,138,2025-12-09,-1003181705395,1080p,Unknown,Hindi
Moonwalk 2025 1080p JHS WEB DL DDP5 1 H 265,137,2025-12-09,-1003181705395,1080p,Unknown,Unknown
Moonwalk 2025 1080p 10Bit DS4K WEB DL Hindi 5 1 Mala,136,2025-12-09,-1003181705395,1080p,Unknown,Hindi
Moonwalk 2025 720p JHS WEB DL DDP5 1 H 264,135,2025-12-09,-1003181705395,720p,Unknown,Unknown
Moonwalk 2025 Hindi JSTAR WEB DL 720p,134,2025-12-09,-1003181705395,720p,Unknown,Hindi
Moonwalk 2025 720p DS4K WEB DL Hindi 5 1 Malayalam 5,133,2025-12-09,-1003181705395,720p,Unknown,Hindi
Moonwalk 2025 720p 10Bit DS4K WEB DL Hindi 5 1 Malay,132,2025-12-09,-1003181705395,720p,Unknown,Hindi
Moonwalk 2025 Hindi JSTAR WEB DL 480p,131,2025-12-09,-1003181705395,480p,Unknown,Hindi
Moonwalk 2025 480p DS4K WEB DL Hindi ORG Malayalam E,130,2025-12-09,-1003181705395,480p,Unknown,Hindi
DNA 2025 1080p JHS WEB DL DDP5 1 H 264,129,2025-12-07,-1003181705395,1080p,Unknown,Unknown
DNA 2025 1080p DS4K WEB-DL Hindi 5 1-Tamil 5 1 ESub x264,128,2025-12-07,-1003181705395,1080p,Unknown,Hindi
DNA 2025 1080p JHS WEB DL DDP5 1 H 265,127,2025-12-07,-1003181705395,1080p,Unknown,Unknown
DNA 2025 720p DS4K WEB DL HIN TAM x264 AAC 5 1 ESub,126,2025-12-07,-1003181705395,720p,Unknown,Unknown
DNA 2025 720p DS4K WEB-DL Hindi 5 1-Tamil 5 1 ESub x264,125,2025-12-07,-1003181705395,720p,Unknown,Hindi
DNA 2025 720p HEVC DS4K WEB DL HIN TAM x265 AAC 2.0,124,2025-12-07,-1003181705395,720p,Unknown,Unknown
DNA 2025 720p HEVC DS4K WEB-DL Hindi-Tamil ESub x265,123,2025-12-07,-1003181705395,720p,Unknown,Hindi
DNA 2025 480p JHS WEB DL AAC2 0 H 264,122,2025-12-07,-1003181705395,480p,Unknown,Unknown
DNA 2025 480p DS4K WEB DL HIN TAM x264 AAC 2.0 ESub,121,2025-12-07,-1003181705395,480p,Unknown,Unknown
Kuladalli Keelyavudo (2025) 1080p Hindi + Kannada Dual,120,2025-12-06,-1003181705395,1080p,Unknown,Hindi
Kuladi Keelyavudo 2025 720p AMZN DL DUAL DDP2 0 H 265,119,2025-12-06,-1003181705395,720p,Unknown,Unknown
Kuladalli Keelyavudo (2025) 720p Hindi + Kannada Dual,118,2025-12-06,-1003181705395,720p,Unknown,Hindi
Kuladi Keelyavudo 2025 720p AMZN DL AAC2 0 H 265,117,2025-12-06,-1003181705395,720p,Unknown,Unknown
Kuladalli Keelyavudo (2025) 720p HEVC Hindi + Kannada,116,2025-12-06,-1003181705395,720p,Unknown,Hindi
Kuladi Keelyavudo 2025 405p AMZN DL AAC2 0 H 264,115,2025-12-06,-1003181705395,Unknown,Unknown,Unknown
Kuladalli Keelyavudo (2025) 480p Hindi + Kannada Dual,114,2025-12-06,-1003181705395,480p,Unknown,Hindi
Yadha Yadha Hi 2024 1080p SNXT DL Hindi HDTV Kannada DDP,113,2025-12-05,-1003181705395,1080p,Unknown,Hindi
Yadha Yadha Hi 2024 1080p 10bit DS4K SNXT Rip Hindi Kannada DDP5,112,2025-12-05,-1003181705395,1080p,Unknown,Hindi
Yadha Yadha Hi 2024 1080p SNXT DL Hindi HDTV Kannada DDP,111,2025-12-05,-1003181705395,1080p,Unknown,Hindi
Yadha Yadha Hi 2024 720p SNXT DL Hindi HDTV Kannada DDP5,110,2025-12-05,-1003181705395,720p,Unknown,Hindi
Yadha Yadha Hi 2024 720p 10bit DS4K SNXT Rip Hindi DDP5 1 x265,109,2025-12-05,-1003181705395,720p,Unknown,Hindi
